conflict_id,country_code,latitude,longitude,date_start,fatalities,event_type_code,snapshot_quarter,in_corridor
413008,530,12.2,40.25,20210804,107,1,202103,1
414366,530,12.0,41.5,20210813,300,1,202103,1
435237,530,13.212072,37.79142,20210818,5,1,202103,1
414734,530,13.56139,38.1325,20210819,1,1,202103,1
414608,530,13.86167,40.02157,20210823,3,1,202103,1
484909,530,13.23333,37.88333,20210825,1,1,202103,1
414618,530,13.15611,37.89806,20210830,1,1,202103,1
414654,530,12.98417,37.765,20210831,55,1,202103,1
423686,530,12.98417,37.765,20210903,2,1,202103,1
414663,530,13.34222,37.88639,20210905,1,1,202103,1
428310,530,13.34222,37.88639,20211011,1,1,202104,1
418932,530,13.49667,39.47528,20211018,3,1,202104,1
500927,530,13.642162,39.187192,20211018,3,1,202104,1
419803,530,13.55092,39.0563,20211020,2,1,202104,1
418973,530,13.49667,39.47528,20211028,10,1,202104,1
423284,530,12.78333,39.76667,20211108,3,1,202104,1
423291,530,12.444844,39.804452,20211109,1,1,202104,1
423146,530,12.63056,39.03472,20211124,1,1,202104,1
423147,530,12.03333,39.03333,20211124,1,1,202104,1
500961,530,13.071916,39.70241,20211124,1,1,202104,1
500797,530,13.103234,39.494404,20211212,2,1,202104,1
484963,530,12.03333,39.03333,20211212,1,1,202104,1
425634,530,12.416741,39.558948,20211216,28,1,202104,1
429078,530,12.416741,39.558948,20211217,10,1,202104,1
425757,530,12.797859,39.64479,20211219,1,1,202104,1
425758,530,12.7875,39.54222,20211220,3,1,202104,1
425756,530,12.50583,39.52278,20211220,15,1,202104,1
425637,530,13.385293,39.695355,20211220,10,1,202104,1
425658,530,13.49667,39.47528,20211220,24,1,202104,1
500801,530,13.284347,39.655095,20211220,7,1,202104,1
425755,530,13.49667,39.47528,20211222,1,1,202104,1
425640,530,13.354964,39.756964,20211224,8,1,202104,1
491506,530,12.416741,39.558948,20211228,2,1,202104,1
455264,530,13.365826,37.989287,20211231,1,1,202104,1
455270,530,12.28597,39.60132,20220101,1,1,202201,1
455272,530,12.416741,39.558948,20220101,1,1,202201,1
454232,530,13.365826,37.989287,20220101,1,1,202201,1
455344,530,13.893651,37.555804,20220101,1,1,202201,1
455345,530,13.771653,37.697742,20220101,1,1,202201,1
455318,530,13.354964,39.756964,20220101,1,1,202201,1
455321,530,13.150248,38.823626,20220101,1,1,202201,1
455342,530,13.354964,39.756964,20220102,1,1,202201,1
455343,530,13.354964,39.756964,20220102,1,1,202201,1
455346,530,13.285975,38.994398,20220103,1,1,202201,1
425650,530,13.44806,38.06111,20220104,1,1,202201,1
427262,530,13.94722,38.182216,20220104,6,1,202201,1
427168,530,13.103234,39.494404,20220104,2,1,202201,1
425652,530,13.6571,38.1545,20220105,3,1,202201,1
425656,530,13.941207,38.765023,20220105,23,1,202201,1
427310,530,13.365826,37.989287,20220106,1,1,202201,1
427311,530,13.354964,39.756964,20220106,1,1,202201,1
427301,530,14.5325,37.77665,20220106,1,1,202201,1
427303,530,12.615013,39.087582,20220106,1,1,202201,1
427304,530,13.150248,38.823626,20220106,1,1,202201,1
427305,530,12.96033,39.52831,20220106,1,1,202201,1
427306,530,12.96033,39.52831,20220106,1,1,202201,1
427307,530,12.28597,39.60132,20220106,1,1,202201,1
491289,530,14.09964,38.27821,20220106,7,1,202201,1
425661,530,14.070002,37.762342,20220107,57,1,202201,1
427263,530,14.336561,37.561729,20220108,1,1,202201,1
427167,530,13.56139,38.1325,20220110,17,1,202201,1
427649,530,13.49667,39.47528,20220111,3,1,202201,1
428534,530,12.6,37.466667,20220111,1,1,202201,1
455347,530,13.632182,37.964072,20220113,1,1,202201,1
455348,530,14.395833,37.773056,20220113,1,1,202201,1
455350,530,14.164349,37.309643,20220113,1,1,202201,1
